step,task_id,day_of_week,hour,minute,duration_mins
1,40,0,8,0,20.2
2,40,0,8,0,19.6
3,26,0,8,0,19.0
4,23,0,8,0,18.7
5,23,0,8,0,18.3
6,23,0,8,0,18.3
7,23,0,8,0,18.4
8,0,0,8,0,18.7
9,0,0,8,0,17.7
10,23,0,8,0,16.9
11,23,1,8,0,18.1
12,35,1,8,30,21.0
13,49,1,8,30,21.3
14,49,1,8,30,21.6
15,49,1,8,30,21.6
16,49,1,8,30,21.3
17,49,1,8,30,21.2
18,49,1,8,30,21.0
19,49,1,8,15,20.4
20,32,1,8,30,19.7
21,4,1,8,30,22.8
22,4,1,8,30,24.4
23,4,1,8,30,26.2
24,4,1,12,30,28.0
25,4,1,8,30,31.6
26,4,1,8,30,30.8
27,4,1,8,30,29.7
28,4,1,8,30,28.8
29,4,1,8,30,28.2
30,32,1,12,30,28.4
31,4,1,12,30,31.8
32,4,1,12,30,35.4
33,4,2,12,30,37.4
34,4,2,12,30,38.4
35,12,2,12,30,39.4
36,49,2,8,30,41.6
37,49,2,8,45,36.2
38,49,2,8,30,33.6
39,49,2,8,30,31.1
40,48,2,8,30,29.2
41,48,2,8,30,27.6
42,48,2,8,30,27.2
43,12,2,8,30,27.7
44,4,2,8,30,29.4
45,4,2,8,30,31.0
46,37,2,8,30,31.4
47,28,2,8,30,29.9
48,28,2,8,30,30.5
49,28,2,8,30,30.5
50,37,2,8,30,30.0
51,49,2,8,30,29.0
52,49,2,17,30,27.5
53,49,2,17,30,25.4
54,49,2,17,30,22.6
55,49,2,17,30,19.1
56,28,4,17,45,16.5
57,49,3,17,45,16.0
58,49,3,17,45,14.4
59,49,3,17,45,13.6
60,49,3,17,45,13.0
61,38,3,17,45,12.3
62,42,3,17,30,13.0
63,42,3,17,30,12.3
64,42,3,17,30,11.4
65,42,3,17,30,11.0
66,42,3,17,15,11.5
67,42,3,17,15,13.8
68,42,3,17,15,16.0
69,42,3,17,15,17.9
70,42,3,17,15,19.1
71,42,5,17,15,19.6
72,38,5,17,15,20.4
73,16,5,10,15,20.6
74,38,5,8,15,20.8
75,23,5,8,15,22.7
76,23,5,8,15,22.4
77,23,5,8,15,21.7
78,42,5,8,15,21.1
79,3,5,8,15,22.3
80,3,5,8,15,24.6
81,3,5,8,15,27.4
82,49,5,8,15,29.7
83,49,5,8,15,30.2
84,42,6,8,15,29.3
85,37,5,8,15,26.5
86,37,5,8,15,24.9
87,3,5,8,15,23.4
88,3,5,8,15,23.1
89,3,5,8,15,23.7
90,17,5,8,15,24.9
91,17,5,8,15,26.2
92,17,5,8,15,27.4
93,17,5,8,15,28.2
94,17,5,8,15,28.5
95,3,5,8,15,28.4
96,42,5,8,15,29.4
97,4,5,8,15,30.0
98,4,5,8,15,30.6
99,4,5,8,15,31.0
100,4,5,8,15,30.8
