task_precision,task_recall,task_f1,time_exact_accuracy,time_close_accuracy_5m,time_close_accuracy_10m,duration_close_accuracy,start_mae_minutes,overlap_same_robot_count,predicted_tasks,true_tasks,matched_tasks,database_id,robot_id,target_week
96.66666666666667,93.54838709677419,95.08196721311477,79.3103448275862,79.3103448275862,79.3103448275862,68.96551724137932,341.55172413793105,2.0,30.0,31.0,29.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-07-22 00:00:00+02:00
82.05128205128204,96.96969696969697,88.88888888888889,68.75,68.75,68.75,71.875,239.0625,5.0,39.0,33.0,32.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-07-29 00:00:00+02:00
85.29411764705883,100.0,92.06349206349206,65.51724137931035,65.51724137931035,65.51724137931035,79.3103448275862,398.44827586206895,6.0,34.0,29.0,29.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-08-05 00:00:00+02:00
78.75,100.0,88.1118881118881,53.96825396825397,57.14285714285714,61.904761904761905,71.42857142857143,122.3015873015873,10.0,80.0,63.0,63.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-08-12 00:00:00+02:00
90.74074074074075,94.23076923076923,92.45283018867924,73.46938775510205,73.46938775510205,73.46938775510205,81.63265306122449,161.0204081632653,2.0,54.0,52.0,49.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-08-19 00:00:00+02:00
88.88888888888889,96.96969696969697,92.7536231884058,78.125,78.125,78.125,84.375,138.4375,3.0,36.0,33.0,32.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-08-26 00:00:00+02:00
78.78787878787878,89.65517241379311,83.87096774193549,73.07692307692307,73.07692307692307,73.07692307692307,84.61538461538461,82.5,0.0,33.0,29.0,26.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-09-02 00:00:00+02:00
86.53846153846155,97.82608695652173,91.83673469387756,80.0,80.0,80.0,91.11111111111111,213.22222222222223,5.0,52.0,46.0,45.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-09-09 00:00:00+02:00
90.66666666666666,97.14285714285714,93.79310344827586,76.47058823529412,77.94117647058823,77.94117647058823,85.29411764705883,106.98529411764706,4.0,75.0,70.0,68.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-09-16 00:00:00+02:00
77.08333333333334,100.0,87.05882352941177,75.67567567567568,78.37837837837837,78.37837837837837,91.8918918918919,92.83783783783784,2.0,48.0,37.0,37.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-09-23 00:00:00+02:00
